::ffff:127.0.0.1 - - [26/Nov/2022:11:19:23 +0000] "POST /api/save-details HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:26:25 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:26:26 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:26:58 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:26:58 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:26:59 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:26:59 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:26:59 +0000] "GET /api/user/get-all-users HTTP/1.1" 404 161 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:27:23 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:27:23 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:32:27 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:32:28 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [11/Dec/2022:13:43:54 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Dec/2022:13:44:07 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:44:08 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:44:26 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [11/Dec/2022:13:44:34 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:13:44:35 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:13:44:36 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Dec/2022:13:44:39 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [11/Dec/2022:13:44:48 +0000] "GET /api/user/getUsers HTTP/1.1" 404 156 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Dec/2022:13:54:44 +0000] "GET /api/user/getUsers HTTP/1.1" - - "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:55:40 +0000] "GET /api/user/getUsers HTTP/1.1" - - "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:13:57:29 +0000] "GET /api/user/getUsers HTTP/1.1" - - "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:00:19 +0000] "GET /api/user/getUsers HTTP/1.1" - - "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:01:01 +0000] "GET /api/user/getUsers HTTP/1.1" - - "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:03:20 +0000] "GET /api/user/save-details HTTP/1.1" 404 160 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:03:30 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:24:28 +0000] "GET /api/user/getUsers HTTP/1.1" - - "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:38:46 +0000] "GET /api/user/getUsers HTTP/1.1" 201 448 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:41:24 +0000] "GET /api/user/getUsers HTTP/1.1" 201 447 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:49:55 +0000] "GET /api/user/getUsers HTTP/1.1" 201 449 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:51:01 +0000] "GET /api/user/getUsers HTTP/1.1" 201 449 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:52:58 +0000] "GET /api/user/getUsers HTTP/1.1" 201 449 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:55:19 +0000] "GET /api/user/getUsers HTTP/1.1" 201 449 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:59:32 +0000] "GET /api/users HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:59:33 +0000] "GET /api/users HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:59:39 +0000] "GET /api/users/ HTTP/1.1" 404 149 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:14:59:50 +0000] "GET /api/users/ HTTP/1.1" 404 149 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:15:00:39 +0000] "GET /api/users/ HTTP/1.1" 404 149 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:15:00:40 +0000] "GET /api/users/ HTTP/1.1" 404 149 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:15:01:23 +0000] "GET /api/users HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:15:01:24 +0000] "GET /api/users HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:15:01:24 +0000] "GET /api/users HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:15:03:40 +0000] "GET /api/users HTTP/1.1" - - "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:15:03:47 +0000] "GET /api/users HTTP/1.1" - - "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:15:04:21 +0000] "GET /api/users HTTP/1.1" - - "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [11/Dec/2022:15:18:40 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Dec/2022:15:19:36 +0000] "GET /api/user/save-details HTTP/1.1" 404 160 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:15:19:55 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [11/Dec/2022:15:27:15 +0000] "OPTIONS /api/user/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:15:27:42 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [11/Dec/2022:16:27:22 +0000] "GET /api/users HTTP/1.1" - - "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:28:01 +0000] "GET /api/users HTTP/1.1" - - "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:29:50 +0000] "GET /api/users HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:43:19 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:44:55 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:46:47 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:47:06 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:49:22 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:49:58 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:51:20 +0000] "GET /api/user HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:52:46 +0000] "GET /api/user/s HTTP/1.1" 404 149 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:52:47 +0000] "GET /api/user/s HTTP/1.1" 404 149 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:56:55 +0000] "GET /api/users HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:16:56:56 +0000] "GET /api/users HTTP/1.1" 404 148 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:03:44 +0000] "GET /api/users HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:04:42 +0000] "GET /api/users HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:04:47 +0000] "GET /api/users HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:08:27 +0000] "GET /api/users HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:09:02 +0000] "GET /api/users HTTP/1.1" 200 867 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:13:47 +0000] "GET /api/user/get-all HTTP/1.1" 200 867 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:14:12 +0000] "GET /api/user/get-all HTTP/1.1" 200 867 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:14:30 +0000] "GET /api/user/get-all HTTP/1.1" 200 699 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:17:25 +0000] "GET /api/user/get-by-role HTTP/1.1" 404 159 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:18:12 +0000] "GET /api/user/get-by-role HTTP/1.1" 200 256 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:18:32 +0000] "GET /api/user/get-by-role HTTP/1.1" 200 256 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Dec/2022:17:19:00 +0000] "GET /api/user/get-by-role HTTP/1.1" 200 122 "-" "Thunder Client (https://www.thunderclient.com)"
::1 - - [11/Dec/2022:18:06:37 +0000] "OPTIONS /api/user/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:18:06:39 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:18:08:28 +0000] "OPTIONS /api/user/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:18:08:28 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:18:10:15 +0000] "OPTIONS /api/user/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:18:10:16 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:18:14:31 +0000] "OPTIONS /api/user/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:18:14:32 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:19:03:45 +0000] "OPTIONS /api/user/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:19:03:46 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:19:04:22 +0000] "OPTIONS /api/user/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:19:04:22 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:21:41:20 +0000] "OPTIONS /api/user/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:21:41:22 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:21:42:56 +0000] "OPTIONS /api/user/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:21:42:58 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:21:44:01 +0000] "OPTIONS /api/user/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:21:44:02 +0000] "POST /api/user/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:21:52:49 +0000] "OPTIONS /api/raw-material/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:21:52:51 +0000] "POST /api/raw-material/save-details HTTP/1.1" 201 34 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
::1 - - [11/Dec/2022:22:24:02 +0000] "OPTIONS /api/user/save-details HTTP/1.1" 200 4 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
